Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Afghanistan,AFG,43.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Africa Eastern and Southern,AFE,54.0427749772498
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Africa Western and Central,AFW,71.4460230359628
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Albania,ALB,26.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Algeria,DZA,34
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,American Samoa,ASM,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Andorra,AND,13.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Angola,AGO,61.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Antigua and Barbuda,ATG,17.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Arab World,ARB,38.680959322034
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Argentina,ARG,18.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Armenia,ARM,19.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Aruba,ABW,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Australia,AUS,12.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Austria,AUT,13.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Azerbaijan,AZE,25.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Bahamas, The",BHS,17.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Bahrain,BHR,22.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Bangladesh,BGD,43.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Barbados,BRB,20.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Belarus,BLR,17.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Belgium,BEL,16.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Belize,BLZ,21
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Benin,BEN,71.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Bermuda,BMU,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Bhutan,BTN,46.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Bolivia,BOL,42
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Bosnia and Herzegovina,BIH,23.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Botswana,BWA,42.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Brazil,BRA,13
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,British Virgin Islands,VGB,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Brunei Darussalam,BRN,18.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Bulgaria,BGR,23.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Burkina Faso,BFA,81.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Burundi,BDI,54.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Cabo Verde,CPV,46.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Cambodia,KHM,50.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Cameroon,CMR,61.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Canada,CAN,11.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Caribbean small states,CSS,24.4582738059283
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Cayman Islands,CYM,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Central African Republic,CAF,75.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Central Europe and the Baltics,CEB,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Chad,TCD,70.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Channel Islands,CHI,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Chile,CHL,19.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,China,CHN,18.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Colombia,COL,22.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Comoros,COM,53.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Congo, Dem. Rep.",COD,66.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Congo, Rep.",COG,63
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Costa Rica,CRI,18.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Cote d'Ivoire,CIV,74
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Croatia,HRV,19.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Cuba,CUB,19.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Curacao,CUW,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Cyprus,CYP,13.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Czech Republic,CZE,17.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Denmark,DNK,13.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Djibouti,DJI,52
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Dominica,DMA,29.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Dominican Republic,DOM,28.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Early-demographic dividend,EAR,44.9937134919408
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,East Asia & Pacific,EAS,23.1114889173059
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,East Asia & Pacific (excluding high income),EAP,23.6579686349135
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,23.5703644603318
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Ecuador,ECU,23.8
