Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Afghanistan,AFG,3.05628788
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Albania,ALB,115.21235199
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Algeria,DZA,176.50280955
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,American Samoa,ASM,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Andorra,AND,1631.38665557
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Angola,AGO,41.98650334
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Antigua and Barbuda,ATG,434.76428894
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Argentina,ARG,716.4738335
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Armenia,ARM,58.81064273
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Aruba,ABW,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Australia,AUS,3422.32282687
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Austria,AUT,3408.04957304
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Azerbaijan,AZE,45.24860304
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,"Bahamas, The",BHS,863.1836909
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Bahrain,BHR,674.32101943
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Bangladesh,BGD,5.67698142
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Barbados,BRB,532.48754886
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Belarus,BLR,211.84821094
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Belgium,BEL,3501.82486906
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Belize,BLZ,203.71819761
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Benin,BEN,6.25092677
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Bermuda,BMU,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Bhutan,BTN,73.14326558
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Bolivia,BOL,136.27885551
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Bosnia and Herzegovina,BIH,327.53072247
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Botswana,BWA,267.95357384
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Brazil,BRA,343.91138183
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,British Virgin Islands,VGB,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Brunei Darussalam,BRN,657.57367399
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Bulgaria,BGR,310.03733992
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Burkina Faso,BFA,16.42737716
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Burundi,BDI,5.39600836
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Cabo Verde,CPV,96.4463752
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Cambodia,KHM,16.93399564
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Cameroon,CMR,5.17153014
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Canada,CAN,3224.5060744
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Cayman Islands,CYM,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Central African Republic,CAF,2.41127521
